id,movie,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,avg_vote
1313,Passage Home,1956,Drama,95,Great Britain,Roy Ward Baker,1,2,1,2,5,5
1336,Körkarlen,1921,Fantasy,100,Sweden,Victor Sjöström,0,3,2,3,8,54
1340,Cartouche,1962,Adventure,114,France,Philippe De Broca,2,2,0,2,6,20
1349,The House that Dripped Blood,1971,Horror,102,Great Britain,Peter Duffell,2,3,0,3,6,19
1358,La maison de jade,1988,Drama,95,France,Nadine Trintignant,0,1,2,2,4,5
1377,Quest for Love,1971,Comedy,90,Great Britain,Ralph Thomas,0,0,0,0,7,3
1379,The Wrong Box,1966,Comedy,110,Great Britain,Bryan Forbes,0,0,0,0,7,11
1380,Cassandra Crossing,1976,Thriller,125,Great Britain,George Pan Cosmatos,1,4,3,4,6,110
1383,Castaway,1986,Drama,115,Great Britain,Nicolas Roeg,2,3,2,2,6,16
1391,The Rise of Catherine the Great,1934,Drama,92,Great Britain,Paul Czinner,0,2,0,2,6,7
1394,Gross Misconduct,1993,Drama,100,Australia,George Miller,0,2,0,2,5,10
1425,Le Cheval d'orgueil,1980,History,120,France,Claude Chabrol,0,2,2,2,5,3
1441,At the Earth's Core,1976,Adventure,88,Great Britain,Kevin Connor,1,3,0,2,5,13
1450,Le cerveau,1969,Comedy,115,France,Gérard Oury,2,2,0,1,6,4
1451,Billion Dollar Brain,1968,Spy,103,Great Britain,Ken Russell,0,2,2,3,6,24
1455,Champions,1983,Drama,114,Great Britain,John Irvin,0,0,0,0,5,6
1469,Element of Risk/That's Me Over There,1975,Crime,101,Great Britain,Leslie Norman e Gerald Mayer,0,0,0,0,6,5
1509,Claire de femme,1979,Drama,100,France,Costa-Gavras,1,3,3,3,4,11
1529,Il y a des jours... et des lunes,1990,Comedy,117,France,Claude Lelouch,1,3,2,3,7,12
1570,Consuming Passions,1988,Grotesque,98,Great Britain,Giles Foster,2,2,0,0,5,5
1573,Cyrano de Bergerac,1945,Drama,100,France,Fernand Rivers,0,2,0,1,6,3
1580,Diamond City,1949,Adventure,90,Great Britain,David McDonald,0,1,0,1,5,3
1621,The Coca Cola Kid,1985,Comedy,94,Australia,Dusan Makavejev,2,3,1,0,5,14
1641,L'histoire très bonne et très joyeuse de Colinot Trousse-Chemise,1973,Comedy,105,France,Nina Companeez,1,1,0,0,4,4
1660,Conduct Unbecoming,1974,Thriller,105,Great Britain,Michael Anderson,0,3,2,3,6,11
1664,Pulp,1972,Thriller,90,Great Britain,Mike Hodges,3,2,1,2,6,14
1665,The League of Gentlemen,1959,Comedy,116,Great Britain,Basil Dearden,3,4,1,2,7,18
1701,How I Won the War,1967,War,110,Great Britain,Richard Lester,1,2,2,2,7,12
1742,Le tueur,1972,Crime,87,France,Denys De La Patellière,0,2,0,3,5,13
1767,Den goda viljan,1992,Drama,183,Sweden,Bille August,0,2,1,1,5,10
1781,L'aveu,1970,Drama,138,France,Costa-Gavras,0,0,0,0,7,15
1819,Knight without Armour,1937,Adventure,107,Great Britain,Jacques Feyder,1,2,0,2,6,15
1840,One More Time,1969,Comedy,95,Great Britain,Jerry Lewis,2,1,0,2,4,3
1855,The Singer Not the Song,1961,Western,129,Great Britain,Roy Ward Baker,0,2,0,2,5,18
1878,International Velvet,1978,Comedy,125,Great Britain,Bryan Forbes,1,2,0,2,6,5
1888,The Krays,1990,Drama,119,Great Britain,Peter Medak,0,2,0,2,7,20
1930,Christopher Columbus,1949,Adventure,104,Great Britain,David McDonald,0,2,0,1,5,9
1963,2001: A Space Odyssey,1968,Sci-Fi,141,Great Britain,Stanley Kubrick,0,2,4,2,9,881
1972,Daddy nostalgie,1990,Romantic,108,France,Bertrand Tavernier,1,2,3,2,7,26
2017,Déjà Vu,1985,Horror,94,Great Britain,Anthony B. Richmond,0,2,0,3,6,4
2033,Le crime de Monsieur Lange,1935,Comedy,90,France,Jean Renoir,1,2,2,0,7,16
2037,Green For Danger,1946,Crime,93,Great Britain,Sidney Gilliat,2,3,0,3,6,13
2039,Plein soleil,1960,Thriller,120,France,René Clément,1,2,1,3,7,46
2040,The Spiral Staircase,1975,Thriller,89,Great Britain,Peter Collinson,0,1,0,3,3,4
2048,Evil Under the Sun,1982,Thriller,120,Great Britain,Guy Hamilton,1,2,1,2,6,90
2054,Les possédés,1987,Drama,110,France,Andrzej Wajda,0,0,0,0,6,11
